order_id,customer_id,order_date,status,total_amount
ORD000106,CUST00066,2026-03-04,completed,771.51
ORD000107,CUST00066,2026-04-30,cancelled,709.46
ORD000108,CUST00067,2025-12-17,cancelled,775.83
ORD000109,CUST00068,2026-01-25,cancelled,428.88
ORD000110,CUST00068,2025-11-09,refunded,31.89
ORD000111,CUST00069,2025-12-09,completed,178.29
ORD000112,CUST00069,2026-04-18,completed,94.98
ORD000113,CUST00070,2026-03-30,cancelled,576.65
ORD000114,CUST00071,2026-06-10,completed,888.94
ORD000115,CUST00071,2025-08-01,refunded,1429.37
ORD000116,CUST00072,2026-02-01,completed,1018.69
ORD000117,CUST00073,2026-03-30,cancelled,384.37
ORD000118,CUST00073,2026-03-21,refunded,1305.09
ORD000119,CUST00074,2025-10-09,cancelled,406.05
ORD000120,CUST00074,2025-10-13,cancelled,252.24
ORD000121,CUST00074,2025-09-25,refunded,513.27
ORD000122,CUST00074,2026-01-18,completed,1163.99
ORD000123,CUST00074,2026-06-01,completed,888.58
ORD000124,CUST00075,2026-03-15,cancelled,373.84
ORD000125,CUST00076,2025-12-25,refunded,1333.86
ORD000126,CUST00077,2026-07-02,refunded,1216.37
ORD000127,CUST00078,2026-02-15,cancelled,1143.69
ORD000128,CUST00079,2026-06-04,completed,153.78
ORD000129,CUST00079,2026-05-04,refunded,960.84
ORD000130,CUST00079,2025-11-12,refunded,785.54
ORD000131,CUST00080,2025-12-22,cancelled,644.61
ORD000132,CUST00082,2026-05-20,completed,182.58
ORD000133,CUST00083,2025-10-09,completed,1656.5
ORD000134,CUST00084,2025-11-13,refunded,1136.03
ORD000135,CUST00084,2025-08-17,completed,126.55
ORD000136,CUST00084,2026-05-13,completed,935.96
ORD000137,CUST00085,2026-01-09,completed,657.22
ORD000138,CUST00085,2026-07-24,completed,152.37
ORD000139,CUST00086,2026-03-11,completed,1089.84
ORD000140,CUST00087,2026-01-29,cancelled,502.71
ORD000141,CUST00087,2025-07-27,completed,498.22
ORD000142,CUST00087,2026-01-04,cancelled,542.19
ORD000143,CUST00089,2025-11-23,completed,1126.7
ORD000144,CUST00090,2026-05-06,completed,481.92
ORD000145,CUST00091,2026-04-26,completed,87.84
ORD000146,CUST00091,2026-04-03,refunded,796.71
ORD000147,CUST00092,2026-01-12,completed,693.94
ORD000148,CUST00092,2025-11-07,completed,925.19
ORD000149,CUST00093,2026-04-18,refunded,88.83
ORD000150,CUST00093,2025-07-27,refunded,1354.83
ORD000151,CUST00094,2025-10-02,cancelled,260.24
ORD000152,CUST00094,2026-01-07,completed,891.76
ORD000153,CUST00097,2026-03-20,completed,883.59
ORD000154,CUST00098,2026-01-06,completed,872.66
ORD000155,CUST00099,2026-07-22,refunded,655.78
ORD000156,CUST00100,2026-04-20,completed,1446.87
ORD000157,CUST00100,2026-05-28,completed,292.76
ORD000158,CUST00100,2026-01-12,cancelled,150.49
ORD000159,CUST00100,2026-07-06,completed,650.95
ORD000160,CUST00100,2026-03-14,cancelled,424.95
ORD000161,CUST00101,2025-07-25,refunded,555.81
ORD000162,CUST00101,2026-05-07,completed,453.19
ORD000163,CUST00102,2026-04-25,cancelled,169.95
ORD000164,CUST00102,2025-08-02,cancelled,1191.26
ORD000165,CUST00103,2026-02-08,cancelled,689.84
ORD000166,CUST00103,2025-08-26,refunded,193.41
ORD000167,CUST00103,2026-03-17,cancelled,597.13
ORD000168,CUST00104,2026-03-10,completed,189.6
ORD000169,CUST00104,2026-07-01,completed,434.41
ORD000170,CUST00104,2025-07-28,cancelled,426.48
ORD000171,CUST00105,2025-11-21,completed,1448.35
ORD000172,CUST00106,2026-07-08,cancelled,567.63
ORD000173,CUST00108,2025-10-23,refunded,634.66
ORD000174,CUST00109,2026-04-20,completed,278.1
ORD000175,CUST00109,2026-07-04,completed,589.06
ORD000176,CUST00109,2026-02-28,cancelled,1091.19
ORD000177,CUST00109,2026-02-02,cancelled,1171.92
ORD000178,CUST00109,2025-12-16,completed,1092.18
ORD000179,CUST00110,2026-04-28,cancelled,948.64
ORD000180,CUST00110,2025-10-27,completed,251.77
ORD000181,CUST00111,2026-02-21,completed,445.31
ORD000182,CUST00111,2025-08-08,refunded,220.05
ORD000183,CUST00111,2026-01-01,refunded,1152.15
ORD000184,CUST00112,2026-04-12,completed,400.99
ORD000185,CUST00112,2026-05-09,completed,1134.89
ORD000186,CUST00112,2026-05-13,refunded,1115.83
ORD000187,CUST00113,2026-03-31,completed,556.85
ORD000188,CUST00113,2026-02-05,completed,1318.46
ORD000189,CUST00114,2026-01-05,completed,837.91
ORD000190,CUST00115,2025-11-30,completed,78.11
ORD000191,CUST00116,2026-07-03,cancelled,324.99
ORD000192,CUST00116,2026-04-09,refunded,1202.18
ORD000193,CUST00116,2026-03-28,cancelled,522.12
ORD000194,CUST00118,2025-10-20,refunded,620.03
ORD000195,CUST00118,2026-07-13,completed,271.79
ORD000196,CUST00118,2026-04-12,completed,1047.1
ORD000197,CUST00119,2026-02-05,completed,835.31
ORD000198,CUST00119,2026-03-12,completed,147.4
ORD000199,CUST00120,2026-05-28,completed,567.52
ORD000200,CUST00120,2025-09-18,cancelled,916.49
ORD000201,CUST00120,2026-02-15,cancelled,774.21
ORD000202,CUST00121,2026-05-03,completed,863.42
ORD000203,CUST00121,2026-06-27,cancelled,146.78
ORD000204,CUST00121,2026-01-29,cancelled,1015.41
ORD000205,CUST00122,2026-04-16,completed,675.35
ORD000206,CUST00123,2026-05-13,completed,738.02
ORD000207,CUST00123,2025-12-06,refunded,207.19
ORD000208,CUST00125,2026-05-11,completed,975.46
ORD000209,CUST00126,2025-12-02,cancelled,10.05
ORD000210,CUST00127,2026-04-18,completed,921.48
ORD000211,CUST00127,2025-08-23,completed,939.6
ORD000212,CUST00128,2025-09-20,refunded,868.91
ORD000213,CUST00128,2025-10-08,cancelled,188.12
ORD000214,CUST00130,2025-09-18,cancelled,354.37
ORD000215,CUST00130,2025-11-15,completed,942.69
ORD000216,CUST00131,2025-10-29,completed,910.04
ORD000217,CUST00132,2025-10-15,completed,396.92
ORD000218,CUST00133,2026-01-29,refunded,656.22
ORD000219,CUST00134,2025-09-21,cancelled,994.68
ORD000220,CUST00134,2026-04-08,completed,1383.12
ORD000221,CUST00135,2026-03-07,refunded,372.58
ORD000222,CUST00135,2026-07-22,cancelled,332.39
ORD000223,CUST00136,2026-01-08,completed,297.66
ORD000224,CUST00137,2026-03-07,refunded,123.18
ORD000225,CUST00138,2025-11-30,completed,636.51
ORD000226,CUST00139,2026-06-26,completed,1050.07
ORD000227,CUST00141,2026-04-03,completed,757.08
ORD000228,CUST00144,2026-06-10,refunded,581.68
ORD000229,CUST00144,2026-01-23,refunded,816.53
ORD000230,CUST00147,2026-07-13,refunded,706.93
ORD000231,CUST00147,2025-10-10,completed,1163.46
ORD000232,CUST00148,2026-04-18,completed,230.49
ORD000233,CUST00149,2026-05-27,refunded,1383.93
ORD000234,CUST00149,2026-07-04,refunded,733.08
ORD000235,CUST00149,2026-05-15,completed,532.45
ORD000236,CUST00149,2026-06-17,completed,1075.71
ORD000237,CUST00149,2025-08-15,cancelled,523.56
ORD000238,CUST00150,2026-02-01,completed,1083.38
ORD000239,CUST00150,2026-05-06,cancelled,918.34
ORD000240,CUST00151,2025-08-08,cancelled,751.71
ORD000241,CUST00152,2026-04-21,completed,624.23
ORD000242,CUST00152,2026-04-14,refunded,533.45
ORD000243,CUST00152,2026-03-04,completed,338.35
ORD000244,CUST00154,2025-11-02,cancelled,407.03
ORD000245,CUST00155,2025-10-05,refunded,351.63
ORD000246,CUST00155,2026-01-06,cancelled,183.08
ORD000247,CUST00156,2025-09-20,cancelled,586.01
ORD000248,CUST00156,2026-07-20,completed,551.24
ORD000249,CUST00156,2025-10-05,completed,1168.76
ORD000250,CUST00157,2026-07-03,cancelled,208.44
ORD000251,CUST00158,2025-11-12,completed,493.1
ORD000252,CUST00158,2025-12-24,refunded,732.26
ORD000253,CUST00159,2025-11-23,completed,609.12
ORD000254,CUST00160,2026-07-14,completed,759.51
ORD000255,CUST00161,2026-03-05,completed,270.44
ORD000256,CUST00161,2025-09-30,completed,807.21
ORD000257,CUST00162,2025-12-31,refunded,320.9
ORD000258,CUST00162,2026-05-28,completed,968.66
ORD000259,CUST00163,2026-05-04,refunded,874.88
ORD000260,CUST00163,2026-04-10,cancelled,227.92
ORD000261,CUST00164,2025-09-20,cancelled,357.79
ORD000262,CUST00165,2025-12-28,completed,984.5
ORD000263,CUST00165,2026-07-09,refunded,616.57
ORD000264,CUST00165,2025-07-27,cancelled,187.24
ORD000265,CUST00167,2026-06-25,completed,724.92
ORD000266,CUST00168,2026-06-02,completed,1060.56
ORD000267,CUST00168,2025-11-10,completed,721.58
ORD000268,CUST00168,2025-12-16,cancelled,304.9
ORD000269,CUST00168,2026-01-21,cancelled,766.3
ORD000270,CUST00168,2025-11-06,completed,649.3
ORD000271,CUST00169,2026-03-12,refunded,535.81
ORD000272,CUST00169,2026-07-14,refunded,581.25
ORD000273,CUST00170,2025-07-28,cancelled,1294.14
ORD000274,CUST00171,2025-10-09,cancelled,583.8
ORD000275,CUST00171,2025-12-02,completed,827.01
ORD000276,CUST00172,2026-07-23,refunded,229.34
ORD000277,CUST00172,2026-03-15,completed,682.45
ORD000278,CUST00172,2025-08-13,refunded,483.29
ORD000279,CUST00173,2026-05-27,completed,413.22
ORD000280,CUST00174,2025-08-24,completed,301.28
ORD000281,CUST00174,2025-09-11,completed,1470.92
ORD000282,CUST00174,2026-01-12,completed,690.71
ORD000283,CUST00175,2025-08-21,completed,566.86
ORD000284,CUST00176,2026-06-12,completed,821.71
ORD000285,CUST00177,2025-08-11,refunded,1068.5
ORD000286,CUST00178,2026-06-27,completed,1143.93
ORD000287,CUST00180,2026-04-14,refunded,257.61
ORD000288,CUST00181,2026-06-13,completed,278.7
ORD000289,CUST00181,2026-06-21,completed,840.09
ORD000290,CUST00181,2026-03-28,completed,249.58
ORD000291,CUST00182,2026-01-11,completed,397.44
ORD000292,CUST00184,2025-09-17,refunded,719.4
ORD000293,CUST00185,2025-11-07,completed,494.83
ORD000294,CUST00185,2025-08-12,completed,555.63
ORD000295,CUST00185,2026-07-23,completed,726.36
ORD000296,CUST00186,2025-12-17,completed,642.08
ORD000297,CUST00187,2026-06-20,completed,916.08
ORD000298,CUST00189,2025-09-29,refunded,214.26
ORD000299,CUST00190,2025-08-29,refunded,538.48
ORD000300,CUST00191,2025-08-05,completed,1050.49
ORD000301,CUST00191,2025-11-26,completed,114.5
ORD000302,CUST00191,2026-04-29,completed,320.83
ORD000303,CUST00192,2026-04-03,completed,741.72
ORD000304,CUST00193,2025-10-14,completed,439.02
ORD000305,CUST00194,2026-03-05,completed,202.78
ORD000306,CUST00194,2025-09-16,cancelled,351.85
ORD000307,CUST00195,2025-12-22,completed,223.1
ORD000308,CUST00195,2025-10-04,completed,1217.61
ORD000309,CUST00196,2026-03-31,cancelled,571.67
ORD000310,CUST00197,2026-03-30,completed,465.54
ORD000311,CUST00197,2025-10-27,refunded,186.75
ORD000312,CUST00197,2025-09-17,cancelled,694.94
ORD000313,CUST00197,2026-05-24,cancelled,449.84
ORD000314,CUST00197,2026-05-01,refunded,1354.91
ORD000315,CUST00198,2026-07-09,completed,26.33
ORD000316,CUST00198,2026-02-24,cancelled,475.65
ORD000317,CUST00199,2026-04-07,refunded,578.63
ORD000318,CUST00199,2026-05-11,cancelled,1088.35
ORD000319,CUST00199,2025-09-29,completed,62.61
ORD000320,CUST00199,2026-04-02,refunded,239.63
ORD000321,CUST00199,2026-04-11,completed,628.12
ORD000322,CUST00201,2026-03-04,completed,137.04
ORD000323,CUST00202,2026-04-27,cancelled,772.97
ORD000324,CUST00202,2026-02-11,cancelled,148.79
ORD000325,CUST00203,2025-08-28,completed,656.7
ORD000326,CUST00203,2025-10-17,completed,738.43
ORD000327,CUST00204,2026-06-11,completed,1441.18
ORD000328,CUST00204,2025-11-04,completed,130.62
ORD000329,CUST00205,2026-06-04,refunded,1051.99
ORD000330,CUST00205,2026-06-09,refunded,183.44
ORD000331,CUST00207,2026-06-09,cancelled,99.5
ORD000332,CUST00208,2026-06-06,completed,1044.25
ORD000333,CUST00208,2026-04-18,completed,175.8
ORD000334,CUST00208,2025-09-13,refunded,771.3
ORD000335,CUST00208,2026-01-12,refunded,946.98
ORD000336,CUST00208,2025-08-26,completed,643.57
ORD000337,CUST00209,2026-05-14,completed,185.4
ORD000338,CUST00210,2025-10-06,completed,156.25
ORD000339,CUST00211,2025-12-06,completed,1347.74
ORD000340,CUST00211,2026-01-03,completed,1242.0
ORD000341,CUST00211,2026-07-09,completed,753.8
ORD000342,CUST00212,2026-01-08,cancelled,228.88
ORD000343,CUST00212,2025-12-30,cancelled,419.68
ORD000344,CUST00213,2026-06-03,completed,537.1
ORD000345,CUST00213,2026-02-27,completed,876.5
ORD000346,CUST00214,2025-10-28,completed,675.59
ORD000347,CUST00215,2026-03-11,cancelled,41.88
ORD000348,CUST00215,2026-03-25,cancelled,29.23
ORD000349,CUST00215,2026-06-26,completed,818.32
ORD000350,CUST00216,2026-03-24,completed,289.75
ORD000351,CUST00216,2025-10-26,completed,230.92
ORD000352,CUST00217,2026-02-27,completed,499.91
ORD000353,CUST00218,2026-01-03,completed,395.38
ORD000354,CUST00218,2026-01-13,cancelled,287.07
ORD000355,CUST00219,2025-08-25,refunded,488.91
ORD000356,CUST00219,2025-11-15,cancelled,124.01
ORD000357,CUST00220,2026-07-07,cancelled,680.62
ORD000358,CUST00221,2026-01-07,completed,179.84
ORD000359,CUST00221,2025-10-07,refunded,1058.8
ORD000360,CUST00221,2026-04-17,completed,789.62
ORD000361,CUST00222,2025-11-07,refunded,257.53
ORD000362,CUST00222,2026-01-02,completed,108.02
ORD000363,CUST00223,2026-01-27,completed,502.5
ORD000364,CUST00223,2026-01-15,cancelled,219.83
ORD000365,CUST00223,2026-03-06,completed,736.26
ORD000366,CUST00226,2025-10-06,completed,577.28
ORD000367,CUST00226,2026-03-21,cancelled,630.93
ORD000368,CUST00226,2026-06-28,completed,280.23
ORD000369,CUST00227,2026-03-09,completed,116.63
ORD000370,CUST00228,2026-05-23,completed,491.57
ORD000371,CUST00229,2025-10-18,completed,140.66
ORD000372,CUST00229,2026-04-05,completed,1089.69
ORD000373,CUST00230,2025-12-06,completed,752.47
ORD000374,CUST00232,2025-11-29,completed,107.62
ORD000375,CUST00232,2025-10-21,cancelled,338.43
ORD000376,CUST00232,2025-10-26,completed,502.68
ORD000377,CUST00233,2026-03-25,completed,918.95
ORD000378,CUST00233,2026-02-28,completed,526.99
ORD000379,CUST00233,2026-06-19,completed,1141.71
ORD000380,CUST00235,2025-12-22,completed,500.52
ORD000381,CUST00237,2025-08-23,completed,570.18
ORD000382,CUST00237,2026-06-13,cancelled,734.15
ORD000383,CUST00238,2026-01-30,completed,354.75
ORD000384,CUST00238,2025-09-12,cancelled,427.0
ORD000385,CUST00238,2026-03-07,completed,279.21
ORD000386,CUST00238,2025-12-21,completed,242.96
ORD000387,CUST00238,2026-02-07,refunded,578.64
ORD000388,CUST00240,2026-04-24,completed,290.83
ORD000389,CUST00240,2025-10-01,refunded,701.99
ORD000390,CUST00240,2025-08-04,completed,185.23
ORD000391,CUST00242,2025-10-31,completed,293.75
ORD000392,CUST00242,2026-04-19,completed,396.57
ORD000393,CUST00242,2026-05-08,completed,188.74
ORD000394,CUST00243,2026-04-12,completed,746.19
ORD000395,CUST00243,2025-09-05,completed,503.18
ORD000396,CUST00243,2025-09-15,refunded,674.24
ORD000397,CUST00244,2025-12-17,completed,1254.23
ORD000398,CUST00245,2025-09-09,refunded,513.64
ORD000399,CUST00246,2025-12-30,refunded,938.01
ORD000400,CUST00247,2026-06-23,completed,816.36
ORD000401,CUST00247,2025-12-29,refunded,938.34
ORD000402,CUST00247,2025-10-16,refunded,184.15
ORD000403,CUST00248,2026-03-17,completed,798.11
ORD000404,CUST00250,2026-03-24,completed,640.83
ORD000405,CUST00250,2025-10-20,cancelled,1458.25
ORD000406,CUST00251,2025-10-20,completed,849.42
ORD000407,CUST00251,2026-03-20,completed,371.12
ORD000408,CUST00252,2025-12-21,cancelled,570.03
ORD000409,CUST00253,2025-09-30,completed,527.18
ORD000410,CUST00253,2025-10-17,completed,183.0
ORD000411,CUST00253,2025-10-09,cancelled,279.7
ORD000412,CUST00254,2026-01-21,refunded,786.78
ORD000413,CUST00255,2025-08-19,completed,197.56
ORD000414,CUST00255,2025-11-10,completed,67.15
ORD000415,CUST00256,2025-10-21,completed,898.29
ORD000416,CUST00257,2026-06-10,completed,282.5
ORD000417,CUST00258,2026-04-25,refunded,691.83
ORD000418,CUST00259,2026-01-25,completed,331.39
ORD000419,CUST00263,2025-08-07,cancelled,465.74
ORD000420,CUST00263,2025-10-03,completed,943.79
ORD000421,CUST00263,2025-09-30,completed,678.84
ORD000422,CUST00265,2025-11-15,refunded,1351.28
ORD000423,CUST00266,2025-12-22,refunded,1246.76
ORD000424,CUST00266,2026-06-01,completed,95.61
ORD000425,CUST00266,2026-01-05,cancelled,120.06
ORD000426,CUST00267,2025-10-09,completed,537.35
ORD000427,CUST00269,2025-10-05,completed,984.76
ORD000428,CUST00269,2026-02-19,cancelled,1690.45
ORD000429,CUST00270,2026-06-19,completed,600.7
ORD000430,CUST00270,2025-08-30,completed,300.84
ORD000431,CUST00272,2025-11-11,completed,672.51
ORD000432,CUST00272,2026-07-13,refunded,816.9
ORD000433,CUST00272,2026-01-21,cancelled,41.65
ORD000434,CUST00273,2025-11-16,refunded,908.41
ORD000435,CUST00273,2026-05-06,completed,38.88
ORD000436,CUST00274,2026-04-27,completed,778.68
ORD000437,CUST00275,2025-08-16,refunded,416.87
ORD000438,CUST00275,2025-10-06,refunded,966.04
ORD000439,CUST00276,2025-07-25,completed,565.32
ORD000440,CUST00276,2026-07-20,completed,876.9
ORD000441,CUST00277,2026-07-22,cancelled,1051.84
ORD000442,CUST00277,2025-09-26,completed,588.69
ORD000443,CUST00278,2026-04-09,completed,867.88
ORD000444,CUST00278,2026-01-21,completed,897.75
ORD000445,CUST00279,2026-01-23,completed,1241.22
ORD000446,CUST00280,2026-03-10,completed,702.11
ORD000447,CUST00281,2025-12-08,completed,1380.63
ORD000448,CUST00281,2025-12-04,completed,290.4
ORD000449,CUST00282,2026-03-31,completed,1238.38
ORD000450,CUST00282,2026-05-28,refunded,497.3
ORD000451,CUST00283,2026-04-04,completed,602.87
ORD000452,CUST00283,2025-08-28,completed,834.2
ORD000453,CUST00284,2026-03-17,completed,11.84
ORD000454,CUST00285,2026-01-18,completed,217.84
ORD000455,CUST00285,2026-05-22,completed,831.23
ORD000456,CUST00286,2025-10-11,refunded,716.74
ORD000457,CUST00286,2026-05-22,completed,1431.08
ORD000458,CUST00287,2026-02-24,completed,304.88
ORD000459,CUST00288,2025-12-01,completed,1469.82
ORD000460,CUST00288,2026-01-19,cancelled,868.11
ORD000461,CUST00289,2026-07-14,completed,435.3
ORD000462,CUST00289,2025-07-29,completed,965.45
ORD000463,CUST00290,2026-01-22,cancelled,579.1
ORD000464,CUST00291,2025-11-25,completed,7.49
ORD000465,CUST00292,2025-10-28,completed,881.47
ORD000466,CUST00292,2025-09-26,completed,827.46
ORD000467,CUST00292,2025-07-27,completed,118.48
ORD000468,CUST00293,2025-12-14,cancelled,795.42
ORD000469,CUST00294,2026-03-01,completed,977.17
ORD000470,CUST00294,2026-07-24,completed,337.16
ORD000471,CUST00294,2026-05-12,refunded,1279.12
ORD000472,CUST00294,2026-06-16,completed,519.6
ORD000473,CUST00294,2025-09-28,refunded,701.28
ORD000474,CUST00295,2025-07-31,completed,1831.14
ORD000475,CUST00295,2025-10-31,completed,1390.01
ORD000476,CUST00297,2025-10-11,refunded,937.4
ORD000477,CUST00297,2025-08-05,cancelled,491.2
ORD000478,CUST00297,2025-11-05,completed,256.66
ORD000479,CUST00298,2026-06-02,refunded,498.15
ORD000480,CUST00298,2026-01-05,completed,859.65
ORD000481,CUST00299,2025-10-19,refunded,681.97
ORD000482,CUST00299,2026-05-25,completed,602.58
ORD000483,CUST00299,2026-03-13,completed,725.29
