event_id,anon_or_cust_id,event_type,event_timestamp
EVT000049,CUST00211,checkout_start,2026-05-23 07:06:20.466275
EVT000050,CUST00005,page_view,2026-06-13 03:01:25.676746
EVT000051,CUST00069,checkout_start,2026-03-07 18:11:43.744061
EVT000052,CUST00273,page_view,2026-03-21 12:55:18.788732
EVT000053,anon_3c010c73,product_view,2026-05-25 18:28:01.210242
EVT000054,anon_58f4399c,product_view,2026-05-12 12:53:18.880907
EVT000055,CUST00220,checkout_start,2026-07-24 13:21:03.539168
EVT000056,CUST00003,checkout_start,2026-07-19 09:38:51.041220
EVT000057,CUST00287,product_view,2026-07-06 00:11:56.590045
EVT000058,CUST00083,product_view,2026-05-02 07:40:42.274992
EVT000059,anon_9a88dc0a,add_to_cart,2026-07-17 05:58:54.094508
EVT000060,CUST00216,add_to_cart,2026-05-09 07:41:29.032028
EVT000061,CUST00139,checkout_start,2026-07-06 02:10:08.965949
EVT000062,anon_2da1bde1,checkout_start,2026-06-09 09:55:59.283451
EVT000063,CUST00035,add_to_cart,2026-04-28 18:20:44.654473
EVT000064,CUST00056,product_view,2026-06-13 00:30:47.844872
EVT000065,anon_ebcf4527,checkout_start,2026-07-20 16:22:23.709896
EVT000066,anon_77714b9e,product_view,2026-06-10 20:54:56.037007
EVT000067,CUST00009,add_to_cart,2026-03-02 14:00:24.010189
EVT000068,CUST00273,page_view,2026-03-31 06:27:58.320227
EVT000069,CUST00052,checkout_start,2026-06-18 11:55:22.550153
EVT000070,CUST00224,page_view,2026-02-22 08:22:50.075916
EVT000071,CUST00077,page_view,2026-02-21 00:35:08.806316
EVT000072,CUST00175,product_view,2026-02-25 17:16:17.477253
EVT000073,CUST00255,checkout_start,2026-07-28 00:40:32.440194
EVT000074,CUST00016,checkout_start,2026-06-24 20:45:25.236094
EVT000075,CUST00074,page_view,2026-04-23 22:12:30.674840
EVT000076,CUST00200,page_view,2026-04-04 04:15:04.429634
EVT000077,CUST00092,add_to_cart,2026-04-05 20:33:30.120438
EVT000078,anon_821aaac0,checkout_start,2026-03-06 09:07:23.763051
EVT000079,anon_429145ae,page_view,2026-06-26 20:30:20.614855
EVT000080,CUST00127,product_view,2026-07-28 09:21:11.728927
EVT000081,anon_86fdce18,product_view,2026-08-12 15:00:58.426155
EVT000082,CUST00017,add_to_cart,2026-02-23 17:40:36.156648
EVT000083,CUST00048,add_to_cart,2026-07-27 05:14:43.256287
EVT000084,CUST00159,checkout_start,2026-03-28 01:52:36.153872
EVT000085,CUST00021,page_view,2026-07-13 22:19:35.561527
EVT000086,CUST00152,add_to_cart,2026-03-12 16:36:47.785793
EVT000087,CUST00026,add_to_cart,2026-03-22 12:59:06.986839
EVT000088,anon_974387a8,add_to_cart,2026-06-05 15:43:46.291208
EVT000089,anon_7f8b914d,checkout_start,2026-06-19 04:59:14.456788
EVT000090,CUST00141,page_view,2026-05-01 14:16:03.226792
EVT000091,CUST00124,page_view,2026-03-06 15:22:11.995006
EVT000092,anon_c918a757,product_view,2026-07-03 05:23:02.729289
EVT000093,anon_84adf6be,add_to_cart,2026-03-05 23:47:54.580195
EVT000094,CUST00045,add_to_cart,2026-07-23 11:36:20.005759
EVT000095,CUST00046,checkout_start,2026-07-12 05:23:22.545239
EVT000096,anon_5e58f266,page_view,2026-06-03 13:33:39.043351
EVT000097,CUST00078,page_view,2026-06-08 08:04:23.750472
EVT000098,CUST00119,checkout_start,2026-08-09 23:57:11.528287
EVT000099,anon_dadc1cb7,checkout_start,2026-04-11 12:12:42.315599
EVT000100,anon_e82bdc31,product_view,2026-06-30 12:52:27.284986
EVT000101,anon_50fc4e04,page_view,2026-04-05 08:45:27.124108
EVT000102,anon_8efa2b97,checkout_start,2026-02-27 13:48:14.747388
EVT000103,anon_43c1e996,checkout_start,2026-07-18 08:24:24.190006
EVT000104,anon_8d090c0e,product_view,2026-07-22 01:09:28.355983
EVT000105,anon_6bf15559,checkout_start,2026-07-17 05:19:13.757300
EVT000106,CUST00250,add_to_cart,2026-03-24 10:53:51.691951
EVT000107,CUST00278,checkout_start,2026-05-02 07:03:19.609520
EVT000108,CUST00239,checkout_start,2026-04-07 12:58:13.668605
EVT000109,anon_774b5947,add_to_cart,2026-04-12 15:16:32.636963
EVT000110,CUST00079,product_view,2026-06-18 08:10:46.904265
EVT000111,CUST00134,checkout_start,2026-06-06 11:48:44.684467
EVT000112,CUST00259,product_view,2026-07-10 15:15:08.627979
EVT000113,anon_d22aed94,page_view,2026-07-19 18:20:03.614509
EVT000114,anon_674b4391,checkout_start,2026-03-22 23:49:14.064680
EVT000115,anon_2f3650ee,add_to_cart,2026-05-16 12:52:18.428210
EVT000116,CUST00032,product_view,2026-07-19 02:38:50.660424
EVT000117,CUST00254,add_to_cart,2026-05-27 17:18:30.737162
EVT000118,anon_4395aefc,checkout_start,2026-04-12 16:21:19.060910
EVT000119,CUST00164,page_view,2026-05-12 05:03:45.213596
EVT000120,CUST00034,page_view,2026-04-07 17:35:50.525779
EVT000121,anon_055e5709,add_to_cart,2026-03-01 19:42:11.144056
EVT000122,CUST00016,add_to_cart,2026-04-06 10:00:48.137478
EVT000123,CUST00098,page_view,2026-03-29 02:24:45.115444
EVT000124,CUST00198,product_view,2026-02-23 07:17:11.140982
EVT000125,CUST00131,page_view,2026-03-08 07:27:42.510845
EVT000126,CUST00036,page_view,2026-05-31 05:28:40.637246
EVT000127,anon_dba8d510,add_to_cart,2026-04-11 16:13:03.687621
EVT000128,anon_612f4e70,page_view,2026-05-14 01:39:21.827822
EVT000129,CUST00031,checkout_start,2026-03-15 00:04:19.052020
EVT000130,CUST00212,checkout_start,2026-03-30 19:31:19.482204
EVT000131,anon_7e66bcf1,page_view,2026-05-04 09:51:09.433651
EVT000132,anon_ff560168,checkout_start,2026-06-27 22:55:39.374539
EVT000133,CUST00036,checkout_start,2026-05-29 08:20:09.588782
EVT000134,CUST00110,page_view,2026-07-31 21:02:05.964563
EVT000135,CUST00118,product_view,2026-05-04 05:17:48.577850
EVT000136,CUST00269,add_to_cart,2026-07-08 00:03:52.163063
EVT000137,CUST00091,product_view,2026-04-28 04:59:33.917624
EVT000138,anon_6ee73cd5,checkout_start,2026-05-21 18:23:30.664893
EVT000139,anon_ea868e57,product_view,2026-07-02 15:12:09.177736
EVT000140,anon_f4755b3d,add_to_cart,2026-08-15 04:24:17.882023
EVT000141,anon_32ffcfcb,product_view,2026-07-05 18:20:03.256672
EVT000142,CUST00080,product_view,2026-03-04 00:08:22.857846
EVT000143,anon_e924dacb,checkout_start,2026-06-10 04:03:11.090043
EVT000144,CUST00166,checkout_start,2026-03-15 13:32:15.569116
EVT000145,CUST00220,checkout_start,2026-03-01 08:03:58.171299
EVT000146,anon_c0df524c,add_to_cart,2026-05-09 19:07:46.045389
EVT000147,CUST00281,checkout_start,2026-05-11 16:30:49.032163
EVT000148,CUST00231,product_view,2026-05-24 16:04:56.588284
EVT000149,anon_eb0adde8,page_view,2026-02-28 19:26:04.086538
EVT000150,anon_108b2b94,checkout_start,2026-06-21 11:16:51.603037
EVT000151,CUST00265,add_to_cart,2026-04-10 17:50:51.387971
EVT000152,anon_127d3b36,checkout_start,2026-03-18 08:11:38.372334
EVT000153,CUST00113,add_to_cart,2026-05-07 02:41:14.333527
EVT000154,anon_c42ae1f2,page_view,2026-07-05 12:11:27.839019
EVT000155,anon_89e073b7,checkout_start,2026-05-19 09:22:48.837609
EVT000156,anon_01063019,add_to_cart,2026-03-19 04:08:52.094411
EVT000157,CUST00235,checkout_start,2026-03-31 00:47:51.308624
EVT000158,CUST00135,checkout_start,2026-03-26 09:14:44.194767
EVT000159,anon_5777cc7d,add_to_cart,2026-05-07 18:10:36.791103
EVT000160,CUST00153,page_view,2026-03-06 09:06:36.406206
EVT000161,CUST00291,add_to_cart,2026-03-27 21:04:16.493175
EVT000162,anon_f89747da,checkout_start,2026-03-15 18:20:35.547281
EVT000163,anon_c197fba4,add_to_cart,2026-06-15 07:31:10.321517
EVT000164,CUST00295,page_view,2026-05-05 02:57:36.524131
EVT000165,CUST00153,page_view,2026-03-31 20:02:56.372285
EVT000166,anon_882e58ea,product_view,2026-07-20 22:26:33.656800
EVT000167,CUST00028,checkout_start,2026-08-15 10:01:54.572898
EVT000168,CUST00222,product_view,2026-07-31 23:29:28.137045
EVT000169,anon_3a9c2ead,page_view,2026-06-23 12:55:07.282781
EVT000170,anon_d2ca6650,add_to_cart,2026-05-18 10:26:02.043921
EVT000171,anon_40e3d3a0,page_view,2026-06-21 18:28:22.658497
EVT000172,anon_0c2bbb60,product_view,2026-07-24 23:05:37.164290
EVT000173,CUST00268,page_view,2026-04-16 05:12:35.375602
EVT000174,CUST00289,add_to_cart,2026-07-04 16:29:03.413715
EVT000175,CUST00113,add_to_cart,2026-03-11 06:06:16.904828
EVT000176,CUST00201,product_view,2026-06-03 16:51:01.313731
EVT000177,anon_a07afa8c,page_view,2026-03-17 11:00:57.755416
EVT000178,CUST00148,product_view,2026-06-08 20:15:19.734602
EVT000179,CUST00172,page_view,2026-03-01 13:28:14.258522
EVT000180,CUST00025,product_view,2026-04-12 18:24:36.765758
EVT000181,CUST00204,product_view,2026-07-24 10:56:33.913676
EVT000182,anon_7150d5e8,add_to_cart,2026-04-19 07:05:53.335987
EVT000183,anon_6f31e459,product_view,2026-08-14 10:29:09.539791
EVT000184,CUST00249,product_view,2026-06-10 22:47:14.312207
EVT000185,anon_fa959b19,add_to_cart,2026-04-29 23:55:31.655350
EVT000186,CUST00268,add_to_cart,2026-03-04 04:50:56.896608
EVT000187,CUST00136,product_view,2026-03-14 04:30:47.700894
EVT000188,CUST00294,page_view,2026-04-17 01:09:44.398872
EVT000189,CUST00211,product_view,2026-06-09 19:20:59.195941
EVT000190,CUST00097,checkout_start,2026-05-26 03:49:38.335383
EVT000191,CUST00012,checkout_start,2026-06-01 21:56:08.436393
EVT000192,CUST00179,product_view,2026-06-18 07:20:13.192569
EVT000193,anon_140ea9a9,product_view,2026-06-23 15:04:12.048532
EVT000194,CUST00119,add_to_cart,2026-08-06 15:22:44.555238
EVT000195,anon_e91b73bb,add_to_cart,2026-08-04 14:32:22.734706
EVT000196,anon_54499d5f,page_view,2026-06-11 14:14:33.443974
EVT000197,CUST00027,add_to_cart,2026-07-06 14:33:36.286221
EVT000198,anon_2b8984ff,add_to_cart,2026-02-21 06:22:13.130706
EVT000199,anon_8604cec8,checkout_start,2026-06-27 14:43:06.856006
EVT000200,CUST00056,checkout_start,2026-03-10 13:46:14.671753
EVT000201,CUST00011,checkout_start,2026-07-28 09:29:49.351880
EVT000202,CUST00275,add_to_cart,2026-08-11 04:53:33.188123
EVT000203,CUST00267,checkout_start,2026-05-10 14:14:07.971679
EVT000204,CUST00072,page_view,2026-03-27 16:07:26.999204
EVT000205,CUST00269,page_view,2026-04-04 00:44:17.426568
EVT000206,CUST00030,checkout_start,2026-06-15 04:37:36.242125
EVT000207,CUST00138,page_view,2026-05-31 17:36:49.856508
EVT000208,CUST00004,page_view,2026-04-18 03:29:03.414997
EVT000209,CUST00138,checkout_start,2026-04-12 22:02:49.694598
EVT000210,anon_0d440c27,page_view,2026-05-09 16:14:51.042806
EVT000211,CUST00197,add_to_cart,2026-04-03 20:15:29.397937
EVT000212,anon_cc79abf1,page_view,2026-07-30 05:19:55.037252
EVT000213,anon_2e410fee,product_view,2026-06-25 06:24:12.793412
EVT000214,anon_0e47ce7e,page_view,2026-05-17 10:58:01.950072
EVT000215,CUST00256,product_view,2026-05-24 20:10:49.904074
EVT000216,CUST00011,page_view,2026-07-15 20:09:34.229666
EVT000217,CUST00271,checkout_start,2026-06-18 23:40:07.268238
EVT000218,CUST00201,add_to_cart,2026-05-12 20:58:04.907963
EVT000219,CUST00180,checkout_start,2026-06-23 17:47:09.480646
EVT000220,anon_222647b2,add_to_cart,2026-04-28 20:32:14.956230
EVT000221,anon_955cd5ec,checkout_start,2026-04-06 00:39:42.888534
EVT000222,anon_d96ef7e9,checkout_start,2026-06-15 02:41:50.094597
EVT000223,anon_f9a03720,page_view,2026-03-17 17:26:23.325897
EVT000224,anon_20208645,checkout_start,2026-04-27 06:37:43.497437
EVT000225,CUST00174,product_view,2026-03-12 15:17:48.710034
EVT000226,anon_4115045a,page_view,2026-08-08 14:19:18.842328
EVT000227,anon_b42e92ca,add_to_cart,2026-05-19 01:14:34.704629
EVT000228,CUST00293,add_to_cart,2026-05-23 02:11:57.746831
EVT000229,CUST00159,checkout_start,2026-07-12 10:30:34.321078
EVT000230,CUST00067,add_to_cart,2026-08-07 00:48:29.145196
EVT000231,anon_515ef293,add_to_cart,2026-05-03 17:20:33.596771
EVT000232,anon_b2179c1f,checkout_start,2026-03-30 05:56:22.323627
EVT000233,anon_e62baad0,add_to_cart,2026-04-26 03:28:53.508172
EVT000234,CUST00074,add_to_cart,2026-06-14 21:42:15.672822
EVT000235,CUST00285,page_view,2026-05-14 18:57:45.713409
EVT000236,CUST00074,page_view,2026-02-26 10:19:32.020324
EVT000237,anon_c93d0f80,product_view,2026-03-23 20:12:22.033630
EVT000238,anon_91db6a2d,checkout_start,2026-07-01 18:08:04.883986
EVT000239,CUST00140,add_to_cart,2026-07-08 17:21:08.265307
EVT000240,anon_29ab76fa,page_view,2026-07-28 02:18:59.786005
EVT000241,CUST00013,checkout_start,2026-04-05 16:32:14.866534
EVT000242,anon_6c11af4a,add_to_cart,2026-05-27 20:12:19.040992
EVT000243,CUST00118,page_view,2026-05-03 05:56:07.341294
EVT000244,CUST00244,add_to_cart,2026-03-16 04:28:22.502627
EVT000245,CUST00240,checkout_start,2026-06-27 13:47:58.016856
EVT000246,CUST00198,product_view,2026-05-15 14:00:05.049162
EVT000247,CUST00083,add_to_cart,2026-03-24 13:37:58.836248
EVT000248,CUST00209,page_view,2026-05-28 13:41:17.777835
EVT000249,anon_94d9bb44,product_view,2026-03-19 17:44:48.986761
EVT000250,CUST00103,add_to_cart,2026-04-05 06:39:53.220032
EVT000251,CUST00224,product_view,2026-05-20 04:39:15.994689
EVT000252,anon_267dafb0,product_view,2026-08-11 01:21:02.279327
EVT000253,anon_96dd1b92,product_view,2026-03-09 17:08:36.424663
EVT000254,CUST00021,product_view,2026-07-06 11:48:39.633021
EVT000255,anon_0ab53b00,product_view,2026-04-28 20:54:40.554079
EVT000256,anon_0a47bd68,page_view,2026-05-14 06:43:38.974712
EVT000257,CUST00231,product_view,2026-03-10 20:12:45.206051
EVT000258,anon_bffa17b1,page_view,2026-07-01 20:43:40.927405
EVT000259,anon_5a88084e,add_to_cart,2026-07-03 16:26:19.770659
EVT000260,CUST00202,page_view,2026-08-17 14:06:51.675797
EVT000261,CUST00264,page_view,2026-06-21 18:59:00.475931
EVT000262,CUST00225,product_view,2026-05-08 00:06:27.185342
EVT000263,anon_adea1d78,checkout_start,2026-06-01 03:39:29.594642
EVT000264,CUST00216,checkout_start,2026-05-27 07:19:37.050740
EVT000265,anon_eff7720c,page_view,2026-04-05 08:40:43.082938
EVT000266,anon_2b74a159,add_to_cart,2026-04-14 10:03:31.085898
EVT000267,CUST00231,page_view,2026-05-03 02:08:40.521930
EVT000268,anon_f9f7491f,page_view,2026-07-31 09:58:12.624053
EVT000269,CUST00299,add_to_cart,2026-02-23 04:22:45.403267
EVT000270,CUST00165,product_view,2026-03-02 05:37:16.184477
EVT000271,CUST00232,add_to_cart,2026-04-30 09:32:15.575352
EVT000272,anon_ea3b4939,page_view,2026-03-19 21:57:25.337098
EVT000273,CUST00083,page_view,2026-03-24 01:23:19.176234
EVT000274,CUST00230,checkout_start,2026-04-21 10:36:44.458905
EVT000275,CUST00196,add_to_cart,2026-05-31 06:34:07.559336
EVT000276,CUST00194,page_view,2026-03-14 13:57:56.569366
EVT000277,anon_8161c2a2,checkout_start,2026-07-26 22:25:05.479440
EVT000278,CUST00076,add_to_cart,2026-04-12 19:52:20.986934
EVT000279,anon_a45a2a65,add_to_cart,2026-06-13 03:32:24.189774
EVT000280,anon_15d24593,page_view,2026-03-23 05:33:02.867335
EVT000281,CUST00158,product_view,2026-06-12 15:02:56.192927
EVT000282,CUST00092,page_view,2026-02-26 01:15:51.491186
EVT000283,anon_371fd6a5,add_to_cart,2026-02-18 13:36:06.889925
EVT000284,CUST00129,page_view,2026-07-15 15:41:34.086194
EVT000285,CUST00255,page_view,2026-05-24 20:35:04.563874
EVT000286,anon_49d04b34,product_view,2026-04-24 14:49:57.779628
EVT000287,CUST00243,product_view,2026-06-08 11:13:37.565884
EVT000288,CUST00040,page_view,2026-08-13 04:38:31.746575
EVT000289,CUST00280,checkout_start,2026-04-30 13:03:49.767603
EVT000290,anon_c9f3d21a,add_to_cart,2026-05-18 14:32:01.475117
EVT000291,CUST00075,page_view,2026-05-11 17:02:00.263643
EVT000292,anon_42bf281d,page_view,2026-06-28 01:56:49.599849
EVT000293,CUST00016,checkout_start,2026-03-08 03:41:53.366640
EVT000294,CUST00044,page_view,2026-03-24 15:18:33.647751
EVT000295,CUST00091,add_to_cart,2026-02-26 15:29:55.044423
EVT000296,anon_63d16f0b,add_to_cart,2026-03-17 08:18:08.824673
EVT000297,anon_2719b406,checkout_start,2026-06-19 15:06:52.846807
EVT000298,anon_20727199,page_view,2026-08-07 06:35:53.227244
EVT000299,anon_4bd1f5d0,checkout_start,2026-06-27 15:55:56.445093
EVT000300,CUST00194,page_view,2026-05-15 09:42:05.991269
EVT000301,anon_bcc2fcd5,page_view,2026-07-31 20:17:17.699040
EVT000302,CUST00068,page_view,2026-06-18 16:28:25.459713
EVT000303,anon_e1020303,checkout_start,2026-08-07 23:15:07.938115
EVT000304,CUST00211,add_to_cart,2026-06-06 04:27:24.996786
EVT000305,anon_2e70de85,page_view,2026-05-11 08:22:41.062510
EVT000306,CUST00270,page_view,2026-05-03 17:37:04.353161
EVT000307,CUST00147,product_view,2026-05-07 15:32:27.395976
EVT000308,anon_8b3cbc16,checkout_start,2026-06-12 00:53:50.982284
EVT000309,CUST00294,checkout_start,2026-03-14 19:39:54.071671
EVT000310,anon_fbe29cd7,product_view,2026-03-13 16:14:49.185361
EVT000311,CUST00254,product_view,2026-02-20 22:43:01.995539
EVT000312,anon_536e7491,add_to_cart,2026-06-12 09:56:39.568711
EVT000313,anon_4b4ec5cd,add_to_cart,2026-05-22 03:15:45.748408
EVT000314,CUST00012,product_view,2026-03-10 12:42:35.317516
EVT000315,anon_b6ae8ccf,page_view,2026-07-30 10:43:26.600844
EVT000316,anon_0f057cd7,add_to_cart,2026-07-07 01:34:42.898949
EVT000317,anon_6b84090c,product_view,2026-02-26 02:51:58.630843
EVT000318,CUST00170,checkout_start,2026-03-13 14:02:48.823061
EVT000319,CUST00108,page_view,2026-04-21 02:29:37.216514
EVT000320,anon_eda5fcba,checkout_start,2026-08-18 10:09:14.658063
EVT000321,CUST00034,checkout_start,2026-06-16 22:07:01.201230
EVT000322,CUST00281,checkout_start,2026-04-08 05:19:05.504186
EVT000323,anon_c7b2382e,page_view,2026-05-10 11:12:25.839308
EVT000324,anon_8f8f2355,checkout_start,2026-07-30 23:35:06.423271
EVT000325,CUST00291,page_view,2026-07-01 21:34:15.431918
EVT000326,anon_cf5ab0d1,add_to_cart,2026-06-04 02:52:44.127222
EVT000327,CUST00173,product_view,2026-08-05 15:06:24.204965
EVT000328,anon_7418d3ee,page_view,2026-06-21 19:10:40.116654
EVT000329,anon_bc23d155,product_view,2026-05-31 20:01:19.212575
EVT000330,CUST00235,checkout_start,2026-02-27 12:22:45.704594
EVT000331,CUST00211,page_view,2026-03-31 15:16:20.971610
EVT000332,anon_95cd3259,checkout_start,2026-07-02 07:04:04.009961
EVT000333,CUST00161,page_view,2026-02-21 08:10:39.332288
EVT000334,CUST00169,checkout_start,2026-04-08 22:01:16.789110
EVT000335,CUST00076,checkout_start,2026-04-25 01:26:15.464585
EVT000336,anon_ea991fa7,checkout_start,2026-02-19 08:05:04.291094
EVT000337,anon_af8e7ab5,add_to_cart,2026-07-31 13:39:25.704861
EVT000338,CUST00199,add_to_cart,2026-02-22 07:11:15.744587
EVT000339,CUST00157,checkout_start,2026-04-28 11:24:18.685857
EVT000340,anon_599184b5,checkout_start,2026-05-03 06:02:17.629835
EVT000341,CUST00254,add_to_cart,2026-02-23 00:20:58.911307
EVT000342,CUST00154,add_to_cart,2026-03-09 18:40:35.938557
EVT000343,CUST00089,page_view,2026-07-06 12:51:34.641527
EVT000344,CUST00019,add_to_cart,2026-06-20 03:49:48.501943
EVT000345,anon_568e4cf5,product_view,2026-05-07 04:21:33.008813
EVT000346,CUST00247,add_to_cart,2026-03-30 13:19:38.863883
EVT000347,CUST00247,checkout_start,2026-03-13 03:06:02.289597
EVT000348,anon_347c0886,add_to_cart,2026-07-18 14:36:05.887506
EVT000349,anon_33cae3b9,page_view,2026-07-30 14:56:20.499284
EVT000350,anon_9a9f99e1,add_to_cart,2026-07-15 06:41:57.836472
EVT000351,CUST00018,product_view,2026-07-09 01:28:46.547888
EVT000352,CUST00267,page_view,2026-03-14 07:08:27.526090
EVT000353,CUST00022,page_view,2026-08-12 22:10:06.285933
EVT000354,CUST00023,page_view,2026-07-08 14:23:56.394367
EVT000355,CUST00159,page_view,2026-04-05 22:09:07.041100
EVT000356,CUST00159,add_to_cart,2026-07-25 12:53:01.829050
EVT000357,CUST00098,checkout_start,2026-02-21 18:30:29.784356
EVT000358,CUST00163,product_view,2026-07-09 14:52:27.551228
EVT000359,anon_a53d1785,checkout_start,2026-03-30 03:07:08.467292
EVT000360,CUST00140,page_view,2026-06-19 04:05:39.459730
EVT000361,CUST00286,page_view,2026-06-30 21:26:56.866644
EVT000362,CUST00179,checkout_start,2026-06-28 13:00:37.010086
EVT000363,CUST00145,add_to_cart,2026-05-19 09:09:56.058374
EVT000364,CUST00159,checkout_start,2026-07-26 13:22:42.263460
EVT000365,CUST00025,add_to_cart,2026-04-11 13:21:11.501798
EVT000366,CUST00025,page_view,2026-03-11 04:05:34.322328
EVT000367,CUST00044,product_view,2026-05-25 20:30:43.098830
EVT000368,CUST00228,checkout_start,2026-04-30 22:20:59.848279
EVT000369,CUST00101,page_view,2026-03-28 13:12:47.305790
EVT000370,anon_289ca2da,product_view,2026-04-10 20:02:56.127456
EVT000371,CUST00047,product_view,2026-05-04 04:44:33.178798
EVT000372,CUST00158,product_view,2026-04-13 11:14:05.846133
EVT000373,CUST00114,add_to_cart,2026-04-27 07:13:01.497834
EVT000374,anon_23f082a2,checkout_start,2026-04-21 03:10:48.547661
EVT000375,anon_23c35f1b,product_view,2026-05-06 11:19:57.740610
EVT000376,CUST00169,checkout_start,2026-06-09 10:56:43.377011
EVT000377,CUST00015,page_view,2026-05-22 23:14:36.320747
EVT000378,CUST00179,product_view,2026-08-13 10:44:27.357422
EVT000379,CUST00087,checkout_start,2026-02-18 01:31:55.172555
EVT000380,anon_7c704190,add_to_cart,2026-03-24 12:09:59.197176
EVT000381,CUST00207,page_view,2026-07-03 04:27:51.811635
EVT000382,CUST00036,checkout_start,2026-03-12 12:15:09.346920
EVT000383,CUST00205,product_view,2026-06-22 14:47:14.889410
EVT000384,CUST00124,add_to_cart,2026-04-03 22:29:00.250309
EVT000385,anon_2ad637f1,product_view,2026-07-24 04:05:38.249215
EVT000386,CUST00106,product_view,2026-08-13 10:01:35.019975
EVT000387,anon_f186202a,product_view,2026-03-12 04:13:50.160498
EVT000388,CUST00175,add_to_cart,2026-02-25 15:35:13.876624
EVT000389,CUST00039,product_view,2026-06-04 17:48:12.508086
EVT000390,CUST00237,checkout_start,2026-05-28 14:21:38.999974
EVT000391,CUST00227,add_to_cart,2026-04-30 16:46:46.105018
EVT000392,CUST00207,page_view,2026-03-09 18:03:19.857148
EVT000393,CUST00194,checkout_start,2026-04-27 19:01:08.906744
EVT000394,CUST00031,page_view,2026-07-24 14:49:08.751040
EVT000395,CUST00071,page_view,2026-03-28 15:02:45.826105
EVT000396,anon_b0f5e24d,add_to_cart,2026-06-15 10:25:09.860495
EVT000397,CUST00149,product_view,2026-02-19 21:06:29.005393
EVT000398,anon_b07ec137,product_view,2026-05-02 11:41:56.141792
EVT000399,CUST00162,checkout_start,2026-08-11 00:28:47.609507
EVT000400,CUST00155,product_view,2026-08-04 09:00:50.592951
EVT000401,anon_981d5411,checkout_start,2026-03-12 02:20:24.998606
EVT000402,anon_4e153853,page_view,2026-03-20 07:53:38.669538
